Purwokerto	-7.42139	109.23444	ID
Eagle Pass	28.70914	-100.49952	US
Miyazaki-shi	31.91111	131.42389	JP
Sint-Katelijne-Waver	51.06691	4.53469	BE
Orange Walk	18.08124	-88.56328	BZ
Toyonaka	34.78244	135.46932	JP
Francavilla al Mare	42.42158	14.28217	IT
Città di Castello	43.46556	12.2375	IT
Gaya	24.79686	85.00385	IN
Queensdale	-31.87101	26.97862	ZA
Antequera	37.01938	-4.56123	ES
Seal Beach	33.74141	-118.10479	US
Les Herbiers	46.86667	-1.01667	FR
El Salto	20.33333	-104.5	MX
South Saint Paul	44.89274	-93.03494	US
Karabash	55.4808	60.2157	RU
Hà Tĩnh	18.34282	105.9057	VN
Völklingen	49.25162	6.85873	DE
Vyshneve	50.38913	30.3705	UA
Ushuaia	-54.8	-68.3	AR
Astana	51.1801	71.44598	KZ
West Chester	39.96066	-75.60549	US
Fukura	34.25765	134.71535	JP
Serdobsk	52.45861	44.21689	RU
Hwasun	35.05944	126.985	KR
Kudamatsu	34	131.86667	JP
Croix	50.67846	3.1493	FR
Faches-Thumesnil	50.58333	3.06667	FR
Vila Velha	-20.32972	-40.2925	BR
Botād	22.16917	71.66671	IN
Le Robert	14.67751	-60.94228	MQ
Bais	9.59111	123.12278	PH
Saqqez	36.24992	46.2735	IR
La Garenne-Colombes	48.90472	2.2469	FR
Aix-les-Bains	45.68338	5.92241	FR
Pemangkat	1.16667	108.96667	ID
Kralendijk	12.15	-68.26667	BQ
Chidambaram	11.39907	79.69113	IN
General Roca	-39.03333	-67.58333	AR
Samut Songkhram	13.41456	100.00264	TH
Twentynine Palms	34.13556	-116.05417	US
Riyadh	24.68773	46.72185	SA
Oktyabr’skiy	54.48147	53.47103	RU
Montego Bay	18.47116	-77.91883	JM
Kashihara-shi	34.50896	135.7929	JP
Plainview	34.18479	-101.70684	US
Merouana	35.63106	5.91186	DZ
Bertoua	4.57728	13.68459	CM
Mississauga	43.5789	-79.6583	CA
Wuyang	31.9925	116.24722	CN
Edirne	41.67719	26.55597	TR
Ciudad Nezahualcoyotl	19.40061	-99.01483	MX
Bongabon	15.6321	121.1448	PH
Weirton Heights	40.4084	-80.53924	US
Villa Francisca	18.46667	-69.9	DO
Chaksu	26.6051	75.94814	IN
Thakhèk	17.41027	104.83068	LA
Herten	51.59638	7.14387	DE
Bherāmāra	24.02452	88.99234	BD
Harlow	51.77655	0.11158	GB
Gütersloh	51.90693	8.37854	DE
Gröbenzell	48.2	11.36667	DE
Bad Kissingen	50.20228	10.07784	DE
Rokiškis	55.96667	25.58333	LT
West Melbourne	28.07168	-80.65339	US
Rijeka	45.34306	14.40917	HR
Carmelo	-34.00023	-58.28402	UY
Rimouski	48.44879	-68.52396	CA
Callao	-12.05658	-77.11814	PE
Moaña	42.28333	-8.75	ES
